iter	Passed	Remaining
0	144	144145
1	147	73360
2	149	49769
3	152	37970
4	155	30924
5	158	26192
6	160	22816
7	163	20301
8	166	18354
9	169	16803
10	172	15511
11	175	14443
12	178	13520
13	181	12758
14	182	11993
15	183	11294
16	184	10678
17	185	10133
18	186	9644
19	187	9200
20	188	8802
21	189	8437
22	190	8102
23	191	7797
24	192	7516
25	193	7257
26	194	7015
27	195	6794
28	196	6585
29	197	6390
30	198	6209
31	199	6039
32	200	5878
33	201	5727
34	202	5584
35	203	5450
36	204	5322
37	205	5202
38	206	5088
39	207	4980
40	208	4875
41	209	4777
42	210	4683
43	211	4594
44	212	4507
45	213	4425
46	214	4346
47	215	4271
48	216	4199
49	217	4129
50	218	4062
51	219	3998
52	220	3937
53	221	3878
54	222	3820
55	223	3765
56	224	3711
57	225	3659
58	226	3609
59	227	3560
60	228	3513
61	229	3468
62	230	3424
63	231	3381
64	232	3339
65	233	3299
66	234	3260
67	234	3216
68	235	3179
69	236	3143
70	237	3109
71	238	3075
72	239	3042
73	240	3010
74	241	2979
75	242	2949
76	243	2919
77	244	2890
78	245	2861
79	246	2834
80	247	2807
81	248	2780
82	249	2755
83	250	2729
84	250	2701
85	252	2688
86	253	2662
87	254	2639
88	255	2617
89	256	2596
90	257	2574
91	258	2553
92	259	2532
93	260	2513
94	261	2493
95	262	2473
96	263	2454
97	264	2436
98	265	2418
99	266	2401
100	267	2384
101	268	2362
102	269	2346
103	270	2329
104	271	2312
105	272	2296
106	273	2280
107	274	2265
108	275	2249
109	276	2234
110	277	2219
111	278	2205
112	279	2191
113	280	2177
114	281	2165
115	282	2150
116	283	2138
117	284	2124
118	285	2110
119	286	2097
120	287	2085
121	288	2072
122	288	2057
123	289	2045
124	290	2034
125	291	2023
126	292	2011
127	293	1998
128	294	1987
129	295	1976
130	296	1966
131	297	1955
132	298	1945
133	299	1935
134	300	1925
135	301	1914
136	302	1905
137	303	1894
138	304	1884
139	305	1874
140	306	1865
141	307	1855
142	308	1846
143	309	1837
144	310	1828
145	311	1819
146	312	1810
147	313	1802
148	314	1793
149	315	1785
150	316	1776
151	316	1768
152	317	1760
153	318	1752
154	319	1744
155	320	1736
156	321	1728
157	322	1720
158	323	1713
159	325	1707
160	326	1702
161	328	1697
162	329	1691
163	330	1684
164	331	1677
165	332	1669
166	333	1662
167	334	1655
168	335	1648
169	336	1641
170	337	1634
171	338	1628
172	339	1621
173	340	1615
174	341	1608
175	342	1602
176	343	1595
177	344	1589
178	345	1582
179	346	1576
180	346	1567
181	347	1561
182	348	1555
183	349	1549
184	350	1543
185	351	1537
186	352	1531
187	353	1525
188	354	1519
189	355	1514
190	356	1508
191	357	1502
192	358	1497
193	359	1491
194	360	1486
195	361	1481
196	362	1475
197	363	1470
198	363	1465
199	364	1459
200	366	1455
201	366	1449
202	368	1444
203	368	1439
204	369	1434
205	370	1429
206	371	1424
207	372	1419
208	373	1414
209	374	1409
210	375	1405
211	376	1400
212	377	1395
213	378	1391
214	379	1386
215	380	1381
216	381	1377
217	382	1372
218	383	1367
219	384	1363
220	385	1358
221	386	1354
222	387	1349
223	388	1345
224	389	1340
225	390	1336
226	391	1332
227	392	1327
228	393	1323
229	394	1319
230	395	1315
231	396	1311
232	397	1307
233	398	1303
234	399	1299
235	400	1295
236	401	1291
237	402	1287
238	403	1283
239	404	1279
240	404	1275
241	405	1271
242	406	1267
243	407	1263
244	408	1260
245	409	1256
246	410	1252
247	411	1248
248	412	1244
249	413	1240
250	414	1237
251	415	1233
252	416	1229
253	417	1225
254	418	1222
255	419	1218
256	420	1215
257	421	1211
258	422	1208
259	423	1204
260	424	1201
261	425	1197
262	426	1193
263	427	1190
264	428	1187
265	429	1183
266	430	1180
267	431	1177
268	431	1173
269	432	1170
270	433	1167
271	434	1163
272	435	1160
273	436	1157
274	437	1154
275	438	1150
276	439	1147
277	440	1144
278	441	1141
279	442	1138
280	443	1134
281	444	1132
282	445	1128
283	446	1125
284	447	1122
285	448	1119
286	449	1116
287	450	1113
288	451	1111
289	452	1108
290	453	1105
291	454	1102
292	455	1099
293	456	1096
294	457	1093
295	458	1090
296	459	1088
297	461	1087
298	464	1089
299	466	1087
300	467	1086
301	469	1084
302	470	1081
303	471	1079
304	472	1076
305	473	1074
306	474	1071
307	475	1069
308	476	1066
309	477	1063
310	478	1060
311	479	1058
312	480	1055
313	481	1052
314	482	1049
315	483	1047
316	484	1044
317	485	1041
318	486	1038
319	487	1036
320	488	1033
321	489	1030
322	490	1028
323	491	1025
324	492	1022
325	493	1020
326	494	1017
327	495	1015
328	496	1012
329	497	1010
330	498	1007
331	499	1004
332	500	1002
333	501	999
334	502	997
335	503	994
336	504	992
337	505	989
338	506	987
339	507	984
340	508	982
341	509	979
342	510	977
343	511	974
344	512	972
345	513	969
346	514	967
347	515	965
348	516	962
349	516	960
350	517	957
351	518	955
352	519	952
353	520	950
354	521	948
355	522	945
356	523	943
357	524	940
358	525	938
359	526	936
360	527	934
361	528	931
362	529	929
363	530	927
364	531	925
365	532	922
366	533	920
367	534	918
368	535	916
369	536	913
370	537	911
